Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
54;4436;7;129943;178794;48851;12000;48;
74;4418;7;106418;142855;36437;12000;49;
80;4804;7;111522;243887;132365;13000;0;
208;4784;7;140070;193201;53131;13000;1;
115;4805;8;145622;172986;27364;13000;2;
172;4880;7;127820;190209;62389;13000;3;
234;4774;7;120773;169651;48878;13000;4;
320;4772;6;106801;185220;78419;13000;5;
65;4725;7;138034;152210;14176;13000;6;
91;4726;7;153131;167558;14427;13000;7;
81;4776;8;125318;140680;15362;13000;8;
135;4775;9;124487;155083;30596;13000;9;
116;4768;6;145708;179540;33832;13000;10;
93;4812;7;134317;158882;24565;13000;11;
131;4726;8;134069;173370;39301;13000;12;
35;4781;7;113937;145739;31802;13000;13;
110;4756;6;140765;163342;22577;13000;14;
60;4834;6;128586;152477;23891;13000;15;
135;4790;6;112935;149822;36887;13000;16;
212;4706;7;125707;244499;118792;13000;17;
49;4793;7;150064;185552;35488;13000;18;
139;4799;6;111381;147533;36152;13000;19;
212;4797;7;128994;173352;44358;13000;20;
135;4730;7;138381;162888;24507;13000;21;
310;4789;6;120611;171393;50782;13000;22;
83;4826;6;130740;169928;39188;13000;23;
137;4790;6;121867;157800;35933;13000;24;
184;4778;7;131434;145868;14434;13000;25;
181;4807;6;119380;164501;45121;13000;26;
281;4831;9;170367;175145;4778;13000;27;
217;4767;8;117634;166002;48368;13000;28;
125;4758;7;119506;145000;25494;13000;29;
151;4793;7;122439;142700;20261;13000;30;
153;4776;6;109266;145206;35940;13000;31;
81;4830;6;113538;166589;53051;13000;32;
